"Account","Flag","Date","Payee","Category Group/Category","Category Group","Category","Memo","Outflow","Inflow","Cleared"
"Chase Sapphire Reserve","","07/30/2026","Mdbootstrap","OlderGay.Men: MDBootstrap","OlderGay.Men","MDBootstrap","",$169.00,$0.00,"Uncleared"
"Chase checking","","07/11/2026","Farm Bureau Insurance","Housing: Flood Insurance","Housing","Flood Insurance","",$2461.00,$0.00,"Uncleared"
"Apple Card","","06/22/2026","Fanstastical","Electronics and software: Software","Electronics and software","Software","",$60.84,$0.00,"Uncleared"
"Chase checking","","06/17/2026","Slide Insurance","Housing: Homeowners Insurance","Housing","Homeowners Insurance","",$7242.00,$0.00,"Uncleared"
"Apple Card","","06/16/2026","Rise","Electronics and software: Software","Electronics and software","Software","",$38.42,$0.00,"Uncleared"
"Apple Card","","06/16/2026","Photomator","Electronics and software: Software","Electronics and software","Software","",$16.00,$0.00,"Uncleared"
"Apple Card","","06/16/2026","Pixelmator","Electronics and software: Software","Electronics and software","Software","Photomator subscription",$16.00,$0.00,"Uncleared"
"Chase Sapphire Reserve","","06/10/2026","Audible","Entertainment: Books","Entertainment","Books","",$244.99,$0.00,"Uncleared"
"Chase Sapphire Reserve","","06/10/2026","Audible","Entertainment: Books","Entertainment","Books","",$244.99,$0.00,"Uncleared"
"Apple Card","","06/02/2026","Patreon* Membership","Entertainment: Podcasts","Entertainment","Podcasts","The After Disaster ",$57.65,$0.00,"Uncleared"
"Chase checking","","05/23/2026","Citi Credit Card Payment","Transportation: American Airline Annual Credit Card Fee","Transportation","American Airline Annual Credit Card Fee","",$99.00,$0.00,"Uncleared"
"Apple Card","","05/22/2026","Instacart Subscription","Food: Groceries","Food","Groceries","",$99.00,$0.00,"Uncleared"
"Apple Card","","05/08/2026","Wakeout","Electronics and software: Software","Electronics and software","Software","",$32.01,$0.00,"Uncleared"
"Apple Card","","05/07/2026","Apple","Electronics and software: Software","Electronics and software","Software","Drafts",$21.34,$0.00,"Uncleared"
"Chase Sapphire Reserve","","04/27/2026","Hover","OlderGay.Men: Domain Registration","OlderGay.Men","Domain Registration","",$59.17,$0.00,"Uncleared"
"Apple Card","","04/26/2026","Drafts","Electronics and software: Software","Electronics and software","Software","",$21.34,$0.00,"Uncleared"
"American Airlines Mastercard","","04/25/2026","Membership Fee","Transportation: American Airline Annual Credit Card Fee","Transportation","American Airline Annual Credit Card Fee","",$99.00,$0.00,"Uncleared"
"Apple Card","","04/07/2026","Apple","Electronics and software: Software","Electronics and software","Software","Day One",$37.35,$0.00,"Uncleared"
"Chase Sapphire Reserve","","03/18/2026","Wordpress.com","Bills & utilities: Web hosting","Bills & utilities","Web hosting","",$51.17,$0.00,"Uncleared"
"Apple Card","","03/12/2026","Eero Plus","Electronics and software: Software","Electronics and software","Software","",$105.39,$0.00,"Uncleared"
"Apple Card","","03/06/2026","HBO","Entertainment: TV & Movies","Entertainment","TV & Movies","",$160.11,$0.00,"Uncleared"
"Chase checking","","02/15/2026","Broward County","Taxes: Property Taxes","Taxes","Property Taxes","",$10765.21,$0.00,"Uncleared"
"Apple Card","","02/08/2026","Bear","Electronics and software: Software","Electronics and software","Software","",$16.00,$0.00,"Uncleared"
"Apple Card","","01/31/2026","Focus","Electronics and software: Software","Electronics and software","Software","",$42.69,$0.00,"Uncleared"
"Chase Sapphire Reserve","","12/08/2025","Sanebox Email Filter","Electronics and software: Software","Electronics and software","Software","",$99.00,$0.00,"Uncleared"
"Apple Card","","12/06/2025","Day One","Electronics and software: Software","Electronics and software","Software","",$37.35,$0.00,"Uncleared"
"Chase Sapphire Reserve","","12/04/2025","Cafe Insider","Entertainment: Podcasts","Entertainment","Podcasts","",$69.99,$0.00,"Uncleared"
"Chase Sapphire Reserve","","12/04/2025","Cafe Insider","Entertainment: Podcasts","Entertainment","Podcasts","",$69.99,$0.00,"Uncleared"
"Apple Card","","12/02/2025","Endel","Electronics and software: Software","Electronics and software","Software","",$44.99,$0.00,"Uncleared"
"Chase Sapphire Reserve","","11/30/2025","YNAB","Electronics and software: Software","Electronics and software","Software","",$98.99,$0.00,"Uncleared"
"Chase Sapphire Reserve","","11/29/2025","YNAB","Electronics and software: Software","Electronics and software","Software","",$115.54,$0.00,"Uncleared"
"Chase Sapphire Reserve","","11/09/2025","Audible","Hidden Categories: Recurring expenses (see the Chronicle app)","Hidden Categories","Recurring expenses (see the Chronicle app)","",$159.59,$0.00,"Uncleared"
"Chase Sapphire Reserve","","11/09/2025","Audible","Entertainment: Books","Entertainment","Books","",$159.59,$0.00,"Uncleared"
"Apple Card","","11/07/2025","PictureThis","Electronics and software: Software","Electronics and software","Software","",$37.35,$0.00,"Uncleared"
"Chase Sapphire Reserve","","10/26/2025","Annual Membership Fee","Reimbursements/Money In Trust: Chase Annual Fee","Reimbursements/Money In Trust","Chase Annual Fee","",$795.00,$0.00,"Uncleared"
"Apple Card","","10/24/2025","PaperKarma","Electronics and software: Software","Electronics and software","Software","",$26.68,$0.00,"Uncleared"
"Apple Card","","10/24/2025","Parcel Delivery Tracking","Electronics and software: Software","Electronics and software","Software","",$5.33,$0.00,"Uncleared"
"Apple Card","","10/14/2025","Duolingo","Education: Language lessons","Education","Language lessons","",$179.33,$0.00,"Uncleared"
"Chase Amazon","","10/11/2025","Blink","Housing: Household Supplies","Housing","Household Supplies","",$106.75,$0.00,"Uncleared"
"Chase Amazon","","10/11/2025","Blink","Housing: Household Supplies","Housing","Household Supplies","",$106.75,$0.00,"Uncleared"
"Apple Card","","09/19/2025","Nomorobo","Electronics and software: Software","Electronics and software","Software","",$21.34,$0.00,"Uncleared"
"Apple Card","","09/10/2025","Yazio","Health: Gym","Health","Gym","",$21.34,$0.00,"Uncleared"
"Paypal","","09/05/2025","Akismet","OlderGay.Men: Akismet","OlderGay.Men","Akismet","",$638.96,$0.00,"Uncleared"
"Apple Card","","08/31/2025","Apple","Electronics and software: Hardware","Electronics and software","Hardware","iMac and iPad",$217.65,$0.00,"Uncleared"
"Apple Card","","08/31/2025","Apple Store","Electronics and software: Hardware","Electronics and software","Hardware","MacBook Pro",$133.25,$0.00,"Uncleared"
"Apple Card","","08/31/2025","Apple Store","Electronics and software: Hardware","Electronics and software","Hardware","Mac Mini",$49.91,$0.00,"Uncleared"
"Apple Card","","08/31/2025","Apple","Electronics and software: Hardware","Electronics and software","Hardware","Apple Watch",$31.16,$0.00,"Uncleared"
"Apple Card","","08/31/2025","Apple Store","Electronics and software: Hardware","Electronics and software","Hardware","iPad Mini",$23.66,$0.00,"Uncleared"
"Chase Amazon","","08/31/2025","Kindle Unlimited","Entertainment: Books","Entertainment","Books","",$12.80,$0.00,"Uncleared"
"Apple Card","","08/30/2025","Apple Store","Electronics and software: Hardware","Electronics and software","Hardware","MacBook Pro",$133.25,$0.00,"Uncleared"
"Apple Card","","08/30/2025","Apple Store","Electronics and software: Hardware","Electronics and software","Hardware","Mac Mini",$49.91,$0.00,"Uncleared"
"Apple Card","","08/30/2025","Apple Store","Electronics and software: Hardware","Electronics and software","Hardware","IPad mini",$23.66,$0.00,"Uncleared"
